text_id,aspect,evidence_span,polarity,confidence,model,latency_ms
54,فطور رمضان,فطور رمضان,Negative,0.7066,pyabsa-multilingual,43433
58,مكان,مكان,Positive,0.9989,pyabsa-multilingual,43433
60,حديقة,حديقة,Negative,0.9965,pyabsa-multilingual,43433
62,place,place,Positive,0.9984,pyabsa-multilingual,43433
63,الكافتيريا,الكافتيريا,Negative,0.9861,pyabsa-multilingual,43433
64,مساحات,مساحات,Positive,0.9987,pyabsa-multilingual,43433
64,للاطفال,للاطفال,Positive,0.9988,pyabsa-multilingual,43433
65,مكان,مكان,Positive,0.9985,pyabsa-multilingual,43433
66,راقي,راقي,Positive,0.9988,pyabsa-multilingual,43433
66,ممتازة,ممتازة,Positive,0.998,pyabsa-multilingual,43433
67,فندق,فندق,Positive,0.9386,pyabsa-multilingual,43433
67,استقرام,استقرام,Negative,0.856,pyabsa-multilingual,43433
68,rental,rental,Neutral,0.5536,pyabsa-multilingual,43433
68,spots,spots,Positive,0.9171,pyabsa-multilingual,43433
69,جو,جو,Positive,0.9983,pyabsa-multilingual,43433
70,قريه,قريه,Positive,0.9937,pyabsa-multilingual,43433
70,المطاعم,المطاعم,Positive,0.7232,pyabsa-multilingual,43433
70,المتاحف,المتاحف,Positive,0.8758,pyabsa-multilingual,43433
70,اصحاب المتاحف,اصحاب المتاحف,Positive,0.9819,pyabsa-multilingual,43433
71,اجواء,اجواء,Positive,0.9988,pyabsa-multilingual,43433
73,مكان,مكان,Positive,0.9988,pyabsa-multilingual,43433
74,المكان,المكان,Positive,0.9962,pyabsa-multilingual,43433
76,park,park,Positive,0.9181,pyabsa-multilingual,43433
76,maintenance,maintenance,Neutral,0.4953,pyabsa-multilingual,43433
77,الخدمات,الخدمات,Negative,0.8851,pyabsa-multilingual,43433
78,موظفين الاستقبال,موظفين الاستقبال,Negative,0.996,pyabsa-multilingual,43433
80,منتزه,منتزه,Positive,0.9986,pyabsa-multilingual,43433
82,خدمات,خدمات,Neutral,0.8845,pyabsa-multilingual,43433
83,location,location,Positive,0.9872,pyabsa-multilingual,43433
84,فندق,فندق,Negative,0.5817,pyabsa-multilingual,43433
86,الممشى,الممشى,Positive,0.9974,pyabsa-multilingual,43433
89,الاستقبال,الاستقبال,Negative,0.9969,pyabsa-multilingual,43433
89,غسالة ملابس,غسالة ملابس,Negative,0.9951,pyabsa-multilingual,43433
91,مكان,مكان,Positive,0.9983,pyabsa-multilingual,43433
94,بحيره,بحيره,Positive,0.9963,pyabsa-multilingual,43433
94,الخدمات,الخدمات,Positive,0.8889,pyabsa-multilingual,43433
94,مسجد,مسجد,Negative,0.9763,pyabsa-multilingual,43433
94,مصلى,مصلى,Negative,0.9685,pyabsa-multilingual,43433
95,الفنادق,الفنادق,Positive,0.9984,pyabsa-multilingual,43433
95,أستقبال ومعاملة ومكان واسع,أستقبال ومعاملة ومكان واسع,Positive,0.9986,pyabsa-multilingual,43433
96,سعره,سعره,Neutral,0.6141,pyabsa-multilingual,43433
96,المواقف,المواقف,Neutral,0.713,pyabsa-multilingual,43433
97,مفقله,مفقله,Negative,0.9967,pyabsa-multilingual,43433
98,stay,stay,Positive,0.9908,pyabsa-multilingual,43433
0,سعره,سعره,Neutral,0.7243,pyabsa-multilingual,43845
3,مول,مول,Positive,0.9984,pyabsa-multilingual,43845
4,مكرره,مكرره,Negative,0.9972,pyabsa-multilingual,43845
5,موقع,موقع,Positive,0.9988,pyabsa-multilingual,43845
6,منظر,منظر,Positive,0.9985,pyabsa-multilingual,43845
7,مطاعم,مطاعم,Negative,0.9958,pyabsa-multilingual,43845
9,مكان,مكان,Positive,0.9988,pyabsa-multilingual,43845
10,خدمه,خدمه,Positive,0.9988,pyabsa-multilingual,43845
10,استقبال,استقبال,Positive,0.9988,pyabsa-multilingual,43845
11,حديقه,حديقه,Positive,0.9979,pyabsa-multilingual,43845
17,مول,مول,Positive,0.9984,pyabsa-multilingual,43845
17,السينما,السينما,Positive,0.9986,pyabsa-multilingual,43845
18,قبلة,قبلة,Positive,0.9948,pyabsa-multilingual,43845
19,place,place,Positive,0.9982,pyabsa-multilingual,43845
19,scenery,scenery,Positive,0.9987,pyabsa-multilingual,43845
20,place,place,Negative,0.9923,pyabsa-multilingual,43845
20,price,price,Negative,0.9954,pyabsa-multilingual,43845
23,منتزه,منتزه,Negative,0.5009,pyabsa-multilingual,43845
24,البنيه,البنيه,Negative,0.993,pyabsa-multilingual,43845
25,الحدائق,الحدائق,Positive,0.9981,pyabsa-multilingual,43845
25,كراسي,كراسي,Positive,0.9972,pyabsa-multilingual,43845
25,نافورة,نافورة,Positive,0.9973,pyabsa-multilingual,43845
25,دورات المياه,دورات المياه,Positive,0.9967,pyabsa-multilingual,43845
26,place,place,Positive,0.9969,pyabsa-multilingual,43845
27,property,property,Positive,0.9984,pyabsa-multilingual,43845
28,مكان,مكان,Positive,0.9988,pyabsa-multilingual,43845
29,EXPERIENCE,EXPERIENCE,Positive,0.9987,pyabsa-multilingual,43845
31,سيارات الطعام,سيارات الطعام,Negative,0.9911,pyabsa-multilingual,43845
31,برنامج,برنامج,Negative,0.9713,pyabsa-multilingual,43845
33,اماكن,اماكن,Positive,0.9971,pyabsa-multilingual,43845
34,شاطيء,شاطيء,Positive,0.9987,pyabsa-multilingual,43845
35,حديقة,حديقة,Positive,0.9986,pyabsa-multilingual,43845
36,meal,meal,Positive,0.9769,pyabsa-multilingual,43845
37,المكان,المكان,Negative,0.9951,pyabsa-multilingual,43845
38,الخضار,الخضار,Positive,0.9971,pyabsa-multilingual,43845
38,وأشجار,وأشجار,Positive,0.9977,pyabsa-multilingual,43845
40,factory,factory,Neutral,0.9589,pyabsa-multilingual,43845
41,Abdulaziz Museum,Abdulaziz Museum,Positive,0.9699,pyabsa-multilingual,43845
41,Abdulaziz Park,Abdulaziz Park,Positive,0.8929,pyabsa-multilingual,43845
42,الطعم,الطعم,Positive,0.9986,pyabsa-multilingual,43845
42,ديكوره,ديكوره,Positive,0.9988,pyabsa-multilingual,43845
42,الاكل,الاكل,Positive,0.9988,pyabsa-multilingual,43845
43,السعر المنطقه,السعر المنطقه,Positive,0.9162,pyabsa-multilingual,43845
45,العاصمة,العاصمة,Positive,0.9893,pyabsa-multilingual,43845
46,مكان,مكان,Positive,0.9989,pyabsa-multilingual,43845
51,عين,عين,Negative,0.9963,pyabsa-multilingual,43845
51,أثري,أثري,Negative,0.9967,pyabsa-multilingual,43845
53,فندق,فندق,Positive,0.5787,pyabsa-multilingual,43845
53,الاستقبال,الاستقبال,Positive,0.7839,pyabsa-multilingual,43845
53,الغرف,الغرف,Neutral,0.5355,pyabsa-multilingual,43845
57,lake,lake,Positive,0.9977,pyabsa-multilingual,43845
57,park,park,Positive,0.9979,pyabsa-multilingual,43845
59,المكان,المكان,Positive,0.9799,pyabsa-multilingual,43845
59,الخدمات,الخدمات,Negative,0.9631,pyabsa-multilingual,43845
59,حيث,حيث,Negative,0.9239,pyabsa-multilingual,43845
60,محلات,محلات,Negative,0.4062,pyabsa-multilingual,43845
61,حديقه,حديقه,Positive,0.6183,pyabsa-multilingual,43845
61,أماكن,أماكن,Positive,0.9691,pyabsa-multilingual,43845
62,مكان,مكان,Positive,0.9984,pyabsa-multilingual,43845
63,السعر,السعر,Negative,0.996,pyabsa-multilingual,43845
64,مكان,مكان,Positive,0.9988,pyabsa-multilingual,43845
65,التباعد,التباعد,Positive,0.9877,pyabsa-multilingual,43845
66,مناظر,مناظر,Positive,0.5813,pyabsa-multilingual,43845
68,مكان,مكان,Positive,0.9989,pyabsa-multilingual,43845
69,البحر,البحر,Positive,0.9988,pyabsa-multilingual,43845
70,فندوق,فندوق,Neutral,0.6882,pyabsa-multilingual,43845
72,لوحات,لوحات,Negative,0.9971,pyabsa-multilingual,43845
73,المكان,المكان,Positive,0.9467,pyabsa-multilingual,43845
73,بالمطعم,بالمطعم,Negative,0.9437,pyabsa-multilingual,43845
74,شواطي,شواطي,Negative,0.9966,pyabsa-multilingual,43845
75,استجمام,استجمام,Positive,0.9987,pyabsa-multilingual,43845
77,حي,حي,Neutral,0.6596,pyabsa-multilingual,43845
78,مكان,مكان,Positive,0.9988,pyabsa-multilingual,43845
79,منتزه,منتزه,Positive,0.9987,pyabsa-multilingual,43845
80,حديقه,حديقه,Positive,0.9976,pyabsa-multilingual,43845
83,السعر,السعر,Negative,0.9904,pyabsa-multilingual,43845
85,الفرش,الفرش,Negative,0.9634,pyabsa-multilingual,43845
86,landmark,landmark,Positive,0.9985,pyabsa-multilingual,43845
89,تصميم,تصميم,Positive,0.9987,pyabsa-multilingual,43845
90,مكان,مكان,Positive,0.8758,pyabsa-multilingual,43845
90,الخدمات,الخدمات,Negative,0.9804,pyabsa-multilingual,43845
91,مدخل النساء,مدخل النساء,Positive,0.9041,pyabsa-multilingual,43845
92,المشوار,المشوار,Negative,0.9958,pyabsa-multilingual,43845
93,مكان,مكان,Positive,0.9987,pyabsa-multilingual,43845
95,مكان,مكان,Positive,0.9951,pyabsa-multilingual,43845
95,المأكولات,المأكولات,Negative,0.9831,pyabsa-multilingual,43845
97,مكان,مكان,Positive,0.9988,pyabsa-multilingual,43845
98,نظيف,نظيف,Positive,0.9983,pyabsa-multilingual,43845
99,فندق,فندق,Positive,0.9979,pyabsa-multilingual,43845
99,السبا,السبا,Positive,0.998,pyabsa-multilingual,43845
99,نادي,نادي,Positive,0.9981,pyabsa-multilingual,43845
1,مكان,مكان,Positive,0.9982,pyabsa-multilingual,62453
2,مكان,مكان,Positive,0.9988,pyabsa-multilingual,62453
4,الإطلالة,الإطلالة,Positive,0.9978,pyabsa-multilingual,62453
4,المكان,المكان,Positive,0.9981,pyabsa-multilingual,62453
5,مكان,مكان,Positive,0.9986,pyabsa-multilingual,62453
6,مكان,مكان,Positive,0.8002,pyabsa-multilingual,62453
6,خدمات,خدمات,Negative,0.9405,pyabsa-multilingual,62453
7,experience,experience,Positive,0.9837,pyabsa-multilingual,62453
7,site,site,Positive,0.7772,pyabsa-multilingual,62453
9,فندق,فندق,Positive,0.9979,pyabsa-multilingual,62453
9,خدمة,خدمة,Positive,0.9977,pyabsa-multilingual,62453
9,موظفين,موظفين,Positive,0.9969,pyabsa-multilingual,62453
11,Abdulaziz Museum,Abdulaziz Museum,Positive,0.9699,pyabsa-multilingual,62453
11,Abdulaziz Park,Abdulaziz Park,Positive,0.8929,pyabsa-multilingual,62453
12,شغل,شغل,Positive,0.9986,pyabsa-multilingual,62453
14,الاسعار,الاسعار,Negative,0.996,pyabsa-multilingual,62453
16,مدخلها,مدخلها,Negative,0.9002,pyabsa-multilingual,62453
17,مكان,مكان,Negative,0.7815,pyabsa-multilingual,62453
18,stuff,stuff,Positive,0.9716,pyabsa-multilingual,62453
19,البضائع,البضائع,Positive,0.9965,pyabsa-multilingual,62453
20,صراصير,صراصير,Negative,0.9967,pyabsa-multilingual,62453
23,مكان,مكان,Positive,0.9983,pyabsa-multilingual,62453
23,مكتبة,مكتبة,Positive,0.9986,pyabsa-multilingual,62453
23,للترفيه,للترفيه,Positive,0.9974,pyabsa-multilingual,62453
24,للطبقة الارستقراطية,للطبقة الارستقراطية,Negative,0.6168,pyabsa-multilingual,62453
25,فندق,فندق,Positive,0.9485,pyabsa-multilingual,62453
25,الخدمة,الخدمة,Positive,0.7267,pyabsa-multilingual,62453
26,مكان,مكان,Positive,0.997,pyabsa-multilingual,62453
26,جدا,جدا,Positive,0.9887,pyabsa-multilingual,62453
26,مجاني,مجاني,Positive,0.892,pyabsa-multilingual,62453
27,الحديقه,الحديقه,Positive,0.7162,pyabsa-multilingual,62453
29,مقبول,مقبول,Positive,0.8804,pyabsa-multilingual,62453
31,الكوفيهات,الكوفيهات,Negative,0.9885,pyabsa-multilingual,62453
32,weather,weather,Negative,0.9966,pyabsa-multilingual,62453
33,place,place,Positive,0.9984,pyabsa-multilingual,62453
34,view,view,Positive,0.9982,pyabsa-multilingual,62453
34,place,place,Positive,0.9982,pyabsa-multilingual,62453
37,خلاب,خلاب,Positive,0.993,pyabsa-multilingual,62453
37,بالمنظر,بالمنظر,Positive,0.8842,pyabsa-multilingual,62453
38,الاثاث,الاثاث,Negative,0.9966,pyabsa-multilingual,62453
38,الحمام,الحمام,Negative,0.9967,pyabsa-multilingual,62453
39,air,air,Positive,0.9964,pyabsa-multilingual,62453
40,مكان,مكان,Positive,0.9962,pyabsa-multilingual,62453
40,وجه,وجه,Positive,0.9965,pyabsa-multilingual,62453
40,عمال نظافة,عمال نظافة,Positive,0.9946,pyabsa-multilingual,62453
40,مناظر,مناظر,Positive,0.9852,pyabsa-multilingual,62453
40,قصر,قصر,Positive,0.9645,pyabsa-multilingual,62453
40,والحدائق المحيطة,والحدائق المحيطة,Positive,0.9386,pyabsa-multilingual,62453
44,غرف,غرف,Positive,0.9985,pyabsa-multilingual,62453
44,رائع,رائع,Positive,0.9988,pyabsa-multilingual,62453
45,الاماكن,الاماكن,Positive,0.9984,pyabsa-multilingual,62453
46,الجلسات,الجلسات,Positive,0.995,pyabsa-multilingual,62453
46,ممتازة الطعام,ممتازة الطعام,Positive,0.8342,pyabsa-multilingual,62453
48,حديقة,حديقة,Positive,0.993,pyabsa-multilingual,62453
48,سور,سور,Negative,0.9709,pyabsa-multilingual,62453
52,الحرم,الحرم,Positive,0.9548,pyabsa-multilingual,62453
52,الملكي,الملكي,Positive,0.9295,pyabsa-multilingual,62453
52,غير,غير,Negative,0.9353,pyabsa-multilingual,62453
53,الأحساء,الأحساء,Positive,0.9987,pyabsa-multilingual,62453
54,موقع,موقع,Positive,0.9968,pyabsa-multilingual,62453
56,وحدات,وحدات,Positive,0.9387,pyabsa-multilingual,62453
56,قنواته التلفزيونية,قنواته التلفزيونية,Negative,0.6888,pyabsa-multilingual,62453
58,vibes,vibes,Positive,0.9978,pyabsa-multilingual,62453
59,مسطحات,مسطحات,Positive,0.9972,pyabsa-multilingual,62453
59,كبيرة,كبيرة,Positive,0.9979,pyabsa-multilingual,62453
59,للمشي,للمشي,Positive,0.9982,pyabsa-multilingual,62453
59,وألعاب أطفال,وألعاب أطفال,Positive,0.9986,pyabsa-multilingual,62453
59,الحديقة,الحديقة,Positive,0.997,pyabsa-multilingual,62453
61,زحمة,زحمة,Negative,0.9959,pyabsa-multilingual,62453
62,الفندق,الفندق,Neutral,0.4822,pyabsa-multilingual,62453
62,الغرف,الغرف,Positive,0.9968,pyabsa-multilingual,62453
62,فطورهم,فطورهم,Positive,0.9979,pyabsa-multilingual,62453
63,منتجع,منتجع,Positive,0.9931,pyabsa-multilingual,62453
63,حراس البوابه,حراس البوابه,Negative,0.9936,pyabsa-multilingual,62453
64,المشوار,المشوار,Negative,0.9958,pyabsa-multilingual,62453
65,مكان,مكان,Positive,0.9984,pyabsa-multilingual,62453
66,hiking,hiking,Negative,0.9418,pyabsa-multilingual,62453
67,مكان,مكان,Positive,0.9989,pyabsa-multilingual,62453
70,مساحات,مساحات,Negative,0.9965,pyabsa-multilingual,62453
71,منتزه,منتزه,Positive,0.9964,pyabsa-multilingual,62453
72,اسعار,اسعار,Positive,0.9979,pyabsa-multilingual,62453
73,الموظفين,الموظفين,Negative,0.9972,pyabsa-multilingual,62453
74,موقعه,موقعه,Positive,0.8556,pyabsa-multilingual,62453
74,المنطقة,المنطقة,Negative,0.5729,pyabsa-multilingual,62453
76,فندق,فندق,Negative,0.5246,pyabsa-multilingual,62453
76,الستاف,الستاف,Positive,0.9925,pyabsa-multilingual,62453
77,منتزة,منتزة,Positive,0.9989,pyabsa-multilingual,62453
78,كورنيش,كورنيش,Positive,0.9978,pyabsa-multilingual,62453
78,البحر,البحر,Positive,0.9827,pyabsa-multilingual,62453
78,مخصصه,مخصصه,Positive,0.9898,pyabsa-multilingual,62453
79,الديكور,الديكور,Positive,0.6057,pyabsa-multilingual,62453
79,الأكل,الأكل,Positive,0.656,pyabsa-multilingual,62453
80,بوفيه,بوفيه,Positive,0.6235,pyabsa-multilingual,62453
80,الاكل,الاكل,Positive,0.5552,pyabsa-multilingual,62453
80,الموقع,الموقع,Positive,0.9597,pyabsa-multilingual,62453
81,مكان,مكان,Negative,0.995,pyabsa-multilingual,62453
82,منتزه,منتزه,Positive,0.978,pyabsa-multilingual,62453
84,views,views,Positive,0.9984,pyabsa-multilingual,62453
85,خدمات,خدمات,Negative,0.8761,pyabsa-multilingual,62453
86,على,على,Positive,0.9984,pyabsa-multilingual,62453
87,بلدة,بلدة,Positive,0.9983,pyabsa-multilingual,62453
88,مكان,مكان,Positive,0.9983,pyabsa-multilingual,62453
91,مكان,مكان,Positive,0.9988,pyabsa-multilingual,62453
92,المنتجع,المنتجع,Positive,0.991,pyabsa-multilingual,62453
92,السبارة,السبارة,Negative,0.9796,pyabsa-multilingual,62453
93,الفندق,الفندق,Positive,0.9983,pyabsa-multilingual,62453
93,ممتاز,ممتاز,Positive,0.8288,pyabsa-multilingual,62453
93,مقبول,مقبول,Positive,0.6514,pyabsa-multilingual,62453
94,beach,beach,Positive,0.998,pyabsa-multilingual,62453
95,beach,beach,Positive,0.9954,pyabsa-multilingual,62453
96,نافورة,نافورة,Positive,0.9986,pyabsa-multilingual,62453
97,place,place,Positive,0.9955,pyabsa-multilingual,62453
97,price,price,Positive,0.9689,pyabsa-multilingual,62453
97,مكان,مكان,Positive,0.9099,pyabsa-multilingual,62453
97,متوسط,متوسط,Neutral,0.5402,pyabsa-multilingual,62453
0,seafront,seafront,Positive,0.9986,pyabsa-multilingual,60658
2,park,park,Positive,0.9537,pyabsa-multilingual,60658
3,ينظفونها,ينظفونها,Negative,0.9962,pyabsa-multilingual,60658
